id,en,jp,ru,ch,fr,ko
mode.other,Game modes,ゲームモード,Режимы игры,游戏模式,Modes de jeu,게임모드
mode.choose,Choose a game mode,ゲームモードを選択します。,Выберите режим игры,选择游戏模式,Choisissez un mode de jeu,게임모드를선택합니다
mode.single,Single player,シングルプレーヤー,Один игрок,单人玩家,Un joueur,싱글플레이어
mode.multi,Multiplayer,マルチプレイ,Мультиплеер,多人,multijoueur,멀티플레이어
mode.local,Local multiplayer,ローカルマルチプレイ,Локальный мультиплеер,本地多人,multijoueur local,로컬멀티플레이
mode.online,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
1,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
2,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
3,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
4,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
5,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
6,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
7,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
8,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
9,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
10,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
11,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
12,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
13,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
14,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
15,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
16,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
17,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
18,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
19,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
20,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
21,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
22,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
23,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
24,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
25,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
26,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
27,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
28,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
29,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
30,Online multiplayer,オンラインマルチプレイヤー,многопользовательская онлайн,在线多人游戏,multijoueur en ligne,온라인멀티
